DienstNr;Geldigheid;Deel;PeriodeId;Stelplaats;Geldigheidsnummer;Periode;ContractId;BeginDatum;WijzigDatum;Einddatum;Bustype;Opdrachtgever;Doelgroep;VertrektijdInMin;Vertrektijd;Aankomsttijd;AankomsttijdInMin;Beladen_Kms;Theoretische_Kms;Dag1Rijtijd;Dag1StatTb100;Dag1Stat50;Dag1AndWerkz;Dag1Arbeidstijd;Dag1Nacht;Dag2Rijtijd;dag2StatTb100;Dag2Stat50;dag2AndWerkz;dag2Arbeidstijd;Dag2Nacht;StatEff;OndEff;Kleur;Stelsel;Toegangsgebied;Basisbezetting;Kostenplaats;KalenderKoppeling;StartLine;Endline
67;_d___;2;P2;Waaslandia;2;School;7421;01/07/2025;05/01/2026;;S;;;796;13:16;19:02;1142;140;140;290;56;0;0;320;0;0;0;0;0;0;0;56;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Tu:1;W000001;12011;;
67;__w__;1;P2;Waaslandia;3;School;7421;01/07/2025;05/01/2026;;S;;;395;06:35;08:25;505;53;53;110;0;0;0;110;0;0;0;0;0;0;0;0;0;-1;Bus;Vrasene;Def:0,Wkhd:0,We:1;W000001;12011;;
67;__w__;2;P2;Waaslandia;3;School;7421;01/07/2025;05/01/2026;;S;;;702;11:42;18:28;1108;145;145;299;106;1;0;360;0;0;0;0;0;0;0;107;0;-1;Bus;Vrasene;Def:0,Wkhd:0,We:1;W000001;12011;;
67;___d_;1;P2;Waaslandia;4;School;2224;01/07/2025;05/01/2026;;S;;;354;05:54;08:57;537;87;87;158;25;0;0;173;6;0;0;0;0;0;0;25;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Th:1;W000001;12011;;
67;___d_;2;P2;Waaslandia;4;School;7421;01/07/2025;05/01/2026;;S;;;796;13:16;19:02;1142;140;140;290;56;0;0;320;0;0;0;0;0;0;0;56;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Th:1;W000001;12011;;
67;____v;1;P2;Waaslandia;5;School;2224;01/07/2025;05/01/2026;;S;;;354;05:54;08:57;537;87;87;158;25;0;0;173;6;0;0;0;0;0;0;25;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Fr:1;W000001;12011;;
67;____v;2;P2;Waaslandia;5;School;7421;01/07/2025;05/01/2026;;S;;;796;13:16;19:02;1142;140;140;290;56;0;0;320;0;0;0;0;0;0;0;56;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Fr:1;W000001;12011;;
68;m____;1;P2;Waaslandia;1;School;2226;01/07/2025;05/01/2026;;S;;;355;05:55;08:54;534;69;69;159;20;0;0;179;5;0;0;0;0;0;0;20;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Mo:1;W000001;12011;;
68;m____;2;P2;Waaslandia;1;School;2226;01/07/2025;05/01/2026;;S;;;820;13:40;17:02;1022;89;89;199;3;0;0;202;0;0;0;0;0;0;0;3;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Mo:1;W000001;12011;;
68;_d___;1;P2;Waaslandia;2;School;2226;01/07/2025;05/01/2026;;S;;;355;05:55;08:54;534;69;69;159;20;0;0;179;5;0;0;0;0;0;0;20;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Tu:1;W000001;12011;;
68;_d___;2;P2;Waaslandia;2;School;2226;01/07/2025;05/01/2026;;S;;;820;13:40;17:02;1022;89;89;199;3;0;0;202;0;0;0;0;0;0;0;3;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Tu:1;W000001;12011;;
68;__w__;1;P2;Waaslandia;3;School;7421;01/07/2025;05/01/2026;;S;;;372;06:12;09:02;542;92;92;170;0;0;0;170;0;0;0;0;0;0;0;0;0;-1;Bus;Vrasene;Def:0,Wkhd:0,We:1;W000001;12011;;
68;__w__;2;P2;Waaslandia;3;School;2224;01/07/2025;05/01/2026;;G;;;999;16:39;20:12;1212;95;95;211;2;0;0;213;12;0;0;0;0;0;0;2;0;-1;Bus;Vrasene;Def:0,Wkhd:0,We:1;W000001;12011;;
68;___d_;1;P2;Waaslandia;4;School;2226;01/07/2025;05/01/2026;;S;;;355;05:55;08:54;534;69;69;159;20;0;0;179;5;0;0;0;0;0;0;20;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Th:1;W000001;12011;;
68;___d_;2;P2;Waaslandia;4;School;2226;01/07/2025;05/01/2026;;S;;;820;13:40;17:02;1022;89;89;199;3;0;0;202;0;0;0;0;0;0;0;3;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Th:1;W000001;12011;;
68;____v;1;P2;Waaslandia;5;School;2226;01/07/2025;05/01/2026;;S;;;355;05:55;08:54;534;69;69;159;20;0;0;179;5;0;0;0;0;0;0;20;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Fr:1;W000001;12011;;
68;____v;2;P2;Waaslandia;5;School;2226;01/07/2025;05/01/2026;;S;;;820;13:40;17:02;1022;89;89;199;3;0;0;202;0;0;0;0;0;0;0;3;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Fr:1;W000001;12011;;
69;m____;1;P2;Waaslandia;1;School;7421;01/07/2025;05/01/2026;;S;;;356;05:56;08:55;535;74;74;177;2;0;0;179;4;0;0;0;0;0;0;2;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Mo:1;W000001;12011;;
69;m____;2;P2;Waaslandia;1;School;7421;01/07/2025;05/01/2026;;S;;;896;14:56;18:48;1128;126;126;217;15;0;0;232;0;0;0;0;0;0;0;15;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Mo:1;W000001;12011;;
69;_d___;1;P2;Waaslandia;2;School;7421;01/07/2025;05/01/2026;;S;;;356;05:56;08:55;535;74;74;177;2;0;0;179;4;0;0;0;0;0;0;2;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Tu:1;W000001;12011;;
69;_d___;2;P2;Waaslandia;2;School;7421;01/07/2025;05/01/2026;;S;;;896;14:56;18:48;1128;126;126;217;15;0;0;232;0;0;0;0;0;0;0;15;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Tu:1;W000001;12011;;
69;__w__;1;P2;Waaslandia;3;School;7421;01/07/2025;05/01/2026;;S;;;379;06:19;08:40;520;76;76;141;0;0;0;141;0;0;0;0;0;0;0;0;0;-1;Bus;Vrasene;Def:0,Wkhd:0,We:1;W000001;12011;;
69;__w__;2;P2;Waaslandia;3;School;2226;01/07/2025;05/01/2026;;S;;;737;12:17;18:23;1103;117;117;267;76;23;0;313;0;0;0;0;0;0;0;99;0;-1;Bus;Vrasene;Def:0,Wkhd:0,We:1;W000001;12011;;
69;___d_;1;P2;Waaslandia;4;School;7421;01/07/2025;05/01/2026;;S;;;356;05:56;08:55;535;74;74;177;2;0;0;179;4;0;0;0;0;0;0;2;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Th:1;W000001;12011;;
69;___d_;2;P2;Waaslandia;4;School;7421;01/07/2025;05/01/2026;;S;;;896;14:56;18:48;1128;126;126;217;15;0;0;232;0;0;0;0;0;0;0;15;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Th:1;W000001;12011;;
69;____v;1;P2;Waaslandia;5;School;7421;01/07/2025;05/01/2026;;S;;;356;05:56;08:55;535;74;74;177;2;0;0;179;4;0;0;0;0;0;0;2;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Fr:1;W000001;12011;;
69;____v;2;P2;Waaslandia;5;School;7421;01/07/2025;05/01/2026;;S;;;896;14:56;18:48;1128;126;126;217;15;0;0;232;0;0;0;0;0;0;0;15;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Fr:1;W000001;12011;;
70;m____;1;P2;Waaslandia;1;School;2224;01/07/2025;05/01/2026;;S;;;359;05:59;11:15;675;119;119;253;49;14;0;272;1;0;0;0;0;0;0;63;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Mo:1;W000001;12011;;
70;m____;2;P2;Waaslandia;1;School;7421;01/07/2025;05/01/2026;;S;;;870;14:30;18:25;1105;103;103;223;12;0;0;235;0;0;0;0;0;0;0;12;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Mo:1;W000001;12011;;
70;_d___;1;P2;Waaslandia;2;School;2224;01/07/2025;05/01/2026;;S;;;359;05:59;11:15;675;119;119;253;49;14;0;272;1;0;0;0;0;0;0;63;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Tu:1;W000001;12011;;
70;_d___;2;P2;Waaslandia;2;School;7421;01/07/2025;05/01/2026;;S;;;870;14:30;18:25;1105;103;103;223;12;0;0;235;0;0;0;0;0;0;0;12;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Tu:1;W000001;12011;;
70;__w__;1;P2;Waaslandia;3;School;2224;01/07/2025;05/01/2026;;S;;;383;06:23;09:03;543;62;62;145;15;0;0;160;0;0;0;0;0;0;0;15;0;-1;Bus;Vrasene;Def:0,Wkhd:0,We:1;W000001;12011;;
70;__w__;2;P2;Waaslandia;3;School;7421;01/07/2025;05/01/2026;;S;;;920;15:20;19:02;1142;91;91;190;32;0;0;218;0;0;0;0;0;0;0;32;0;-1;Bus;Vrasene;Def:0,Wkhd:0,We:1;W000001;12011;;
70;___d_;1;P2;Waaslandia;4;School;2224;01/07/2025;05/01/2026;;S;;;359;05:59;11:15;675;119;119;253;49;14;0;272;1;0;0;0;0;0;0;63;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Th:1;W000001;12011;;
70;___d_;2;P2;Waaslandia;4;School;7421;01/07/2025;05/01/2026;;S;;;870;14:30;18:25;1105;103;103;223;12;0;0;235;0;0;0;0;0;0;0;12;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Th:1;W000001;12011;;
70;____v;1;P2;Waaslandia;5;School;2224;01/07/2025;05/01/2026;;S;;;359;05:59;11:15;675;119;119;253;49;14;0;272;1;0;0;0;0;0;0;63;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Fr:1;W000001;12011;;
70;____v;2;P2;Waaslandia;5;School;7421;01/07/2025;05/01/2026;;S;;;870;14:30;18:25;1105;103;103;223;12;0;0;235;0;0;0;0;0;0;0;12;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Fr:1;W000001;12011;;
71;m____;1;P2;Waaslandia;1;School;7421;01/07/2025;05/01/2026;;S;;;360;06:00;09:23;563;90;90;177;26;0;0;200;0;0;0;0;0;0;0;26;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Mo:1;W000001;12011;;
71;m____;2;P2;Waaslandia;1;School;2226;01/07/2025;05/01/2026;;S;;;924;15:24;18:32;1112;84;84;188;0;0;0;188;0;0;0;0;0;0;0;0;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Mo:1;W000001;12011;;
71;_d___;1;P2;Waaslandia;2;School;7421;01/07/2025;05/01/2026;;S;;;360;06:00;09:23;563;90;90;177;26;0;0;200;0;0;0;0;0;0;0;26;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Tu:1;W000001;12011;;
71;_d___;2;P2;Waaslandia;2;School;2226;01/07/2025;05/01/2026;;S;;;924;15:24;18:32;1112;84;84;188;0;0;0;188;0;0;0;0;0;0;0;0;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Tu:1;W000001;12011;;
71;__w__;1;P2;Waaslandia;3;School;2226;01/07/2025;05/01/2026;;S;;;384;06:24;08:18;498;52;52;110;4;0;0;114;0;0;0;0;0;0;0;4;0;-1;Bus;Vrasene;Def:0,Wkhd:0,We:1;W000001;12011;;
71;__w__;2;P2;Waaslandia;3;School;2224;01/07/2025;05/01/2026;;S;;;709;11:49;19:09;1149;129;129;290;124;26;0;344;0;0;0;0;0;0;0;150;0;-1;Bus;Vrasene;Def:0,Wkhd:0,We:1;W000001;12011;;
71;___d_;1;P2;Waaslandia;4;School;7421;01/07/2025;05/01/2026;;S;;;360;06:00;09:23;563;90;90;177;26;0;0;200;0;0;0;0;0;0;0;26;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Th:1;W000001;12011;;
71;___d_;2;P2;Waaslandia;4;School;2226;01/07/2025;05/01/2026;;S;;;924;15:24;18:32;1112;84;84;188;0;0;0;188;0;0;0;0;0;0;0;0;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Th:1;W000001;12011;;
71;____v;1;P2;Waaslandia;5;School;7421;01/07/2025;05/01/2026;;S;;;360;06:00;09:23;563;90;90;177;26;0;0;200;0;0;0;0;0;0;0;26;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Fr:1;W000001;12011;;
71;____v;2;P2;Waaslandia;5;School;2226;01/07/2025;05/01/2026;;S;;;924;15:24;18:32;1112;84;84;188;0;0;0;188;0;0;0;0;0;0;0;0;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Fr:1;W000001;12011;;
72;m____;1;P2;Waaslandia;1;School;7421;01/07/2025;05/01/2026;;S;;;370;06:10;08:43;523;89;89;153;0;0;0;153;0;0;0;0;0;0;0;0;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Mo:1;W000001;12011;;
72;m____;2;P2;Waaslandia;1;School;2226;01/07/2025;05/01/2026;;S;;;838;13:58;18:51;1131;100;100;245;48;0;0;263;0;0;0;0;0;0;0;48;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Mo:1;W000001;12011;;
72;_d___;1;P2;Waaslandia;2;School;7421;01/07/2025;05/01/2026;;S;;;370;06:10;08:43;523;89;89;153;0;0;0;153;0;0;0;0;0;0;0;0;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Tu:1;W000001;12011;;
72;_d___;2;P2;Waaslandia;2;School;2226;01/07/2025;05/01/2026;;S;;;838;13:58;18:51;1131;100;100;245;48;0;0;263;0;0;0;0;0;0;0;48;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Tu:1;W000001;12011;;
72;__w__;1;P2;Waaslandia;3;School;2224;01/07/2025;05/01/2026;;S;;;388;06:28;12:33;753;153;153;341;24;0;0;364;0;0;0;0;0;0;0;24;0;-1;Bus;Vrasene;Def:0,Wkhd:0,We:1;W000001;12011;;
72;__w__;2;P2;Waaslandia;3;School;7421;01/07/2025;05/01/2026;;S;;;934;15:34;17:58;1078;57;57;134;10;0;0;144;0;0;0;0;0;0;0;10;0;-1;Bus;Vrasene;Def:0,Wkhd:0,We:1;W000001;12011;;
72;___d_;1;P2;Waaslandia;4;School;7421;01/07/2025;05/01/2026;;S;;;370;06:10;08:43;523;89;89;153;0;0;0;153;0;0;0;0;0;0;0;0;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Th:1;W000001;12011;;
72;___d_;2;P2;Waaslandia;4;School;2226;01/07/2025;05/01/2026;;S;;;838;13:58;18:51;1131;100;100;245;48;0;0;263;0;0;0;0;0;0;0;48;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Th:1;W000001;12011;;
72;____v;1;P2;Waaslandia;5;School;7421;01/07/2025;05/01/2026;;S;;;370;06:10;08:43;523;89;89;153;0;0;0;153;0;0;0;0;0;0;0;0;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Fr:1;W000001;12011;;
72;____v;2;P2;Waaslandia;5;School;2226;01/07/2025;05/01/2026;;S;;;838;13:58;18:51;1131;100;100;245;48;0;0;263;0;0;0;0;0;0;0;48;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Fr:1;W000001;12011;;
73;m____;1;P2;Waaslandia;1;School;7421;01/07/2025;05/01/2026;;S;;;372;06:12;11:03;663;116;116;234;47;10;0;251;0;0;0;0;0;0;0;57;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Mo:1;W000001;12011;;
73;m____;2;P2;Waaslandia;1;School;2224;01/07/2025;05/01/2026;;S;;;947;15:47;18:35;1115;73;73;166;2;0;0;168;0;0;0;0;0;0;0;2;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Mo:1;W000001;12011;;
73;_d___;1;P2;Waaslandia;2;School;7421;01/07/2025;05/01/2026;;S;;;372;06:12;11:03;663;116;116;234;47;10;0;251;0;0;0;0;0;0;0;57;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Tu:1;W000001;12011;;
73;_d___;2;P2;Waaslandia;2;School;2224;01/07/2025;05/01/2026;;S;;;947;15:47;18:35;1115;73;73;166;2;0;0;168;0;0;0;0;0;0;0;2;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Tu:1;W000001;12011;;
73;__w__;1;P2;Waaslandia;3;School;7421;01/07/2025;05/01/2026;;S;;;389;06:29;13:15;795;138;138;285;96;25;0;332;0;0;0;0;0;0;0;121;0;-1;Bus;Vrasene;Def:0,Wkhd:0,We:1;W000001;12011;;
73;__w__;2;P2;Waaslandia;3;School;2226;01/07/2025;05/01/2026;;G;;;944;15:44;18:14;1094;56;56;140;10;0;0;150;0;0;0;0;0;0;0;10;0;-1;Bus;Vrasene;Def:0,Wkhd:0,We:1;W000001;12011;;
73;___d_;1;P2;Waaslandia;4;School;7421;01/07/2025;05/01/2026;;S;;;372;06:12;11:03;663;116;116;234;47;10;0;251;0;0;0;0;0;0;0;57;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Th:1;W000001;12011;;
73;___d_;2;P2;Waaslandia;4;School;2224;01/07/2025;05/01/2026;;S;;;947;15:47;18:35;1115;73;73;166;2;0;0;168;0;0;0;0;0;0;0;2;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Th:1;W000001;12011;;
73;____v;1;P2;Waaslandia;5;School;7421;01/07/2025;05/01/2026;;S;;;372;06:12;11:03;663;116;116;234;47;10;0;251;0;0;0;0;0;0;0;57;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Fr:1;W000001;12011;;
73;____v;2;P2;Waaslandia;5;School;2224;01/07/2025;05/01/2026;;S;;;947;15:47;18:35;1115;73;73;166;2;0;0;168;0;0;0;0;0;0;0;2;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Fr:1;W000001;12011;;
74;m____;1;P2;Waaslandia;1;School;7421;01/07/2025;05/01/2026;;S;;;379;06:19;09:29;569;85;85;155;35;0;0;170;0;0;0;0;0;0;0;35;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Mo:1;W000001;12011;;
74;m____;2;P2;Waaslandia;1;School;2224;01/07/2025;05/01/2026;;S;;;937;15:37;19:16;1156;76;76;182;37;0;0;213;0;0;0;0;0;0;0;37;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Mo:1;W000001;12011;;
74;_d___;1;P2;Waaslandia;2;School;7421;01/07/2025;05/01/2026;;S;;;379;06:19;09:29;569;83;83;155;35;0;0;170;0;0;0;0;0;0;0;35;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Tu:1;W000001;12011;;
74;_d___;2;P2;Waaslandia;2;School;2224;01/07/2025;05/01/2026;;S;;;937;15:37;19:16;1156;76;76;182;37;0;0;213;0;0;0;0;0;0;0;37;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Tu:1;W000001;12011;;
74;__w__;1;P2;Waaslandia;3;School;2225;01/07/2025;05/01/2026;;S;;;389;06:29;08:21;501;54;54;112;0;0;0;112;0;0;0;0;0;0;0;0;0;-1;Bus;Vrasene;Def:0,Wkhd:0,We:1;W000001;12011;;
74;__w__;2;P2;Waaslandia;3;School;2226;01/07/2025;05/01/2026;;S;;;728;12:08;19:43;1183;175;175;359;96;0;0;438;0;0;0;0;0;0;0;96;0;-1;Bus;Vrasene;Def:0,Wkhd:0,We:1;W000001;12011;;
74;___d_;1;P2;Waaslandia;4;School;7421;01/07/2025;05/01/2026;;S;;;379;06:19;09:29;569;83;83;155;35;0;0;170;0;0;0;0;0;0;0;35;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Th:1;W000001;12011;;
74;___d_;2;P2;Waaslandia;4;School;2224;01/07/2025;05/01/2026;;S;;;937;15:37;19:16;1156;76;76;182;37;0;0;213;0;0;0;0;0;0;0;37;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Th:1;W000001;12011;;
74;____v;1;P2;Waaslandia;5;School;7421;01/07/2025;05/01/2026;;S;;;379;06:19;09:29;569;83;83;155;35;0;0;170;0;0;0;0;0;0;0;35;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Fr:1;W000001;12011;;
74;____v;2;P2;Waaslandia;5;School;2224;01/07/2025;05/01/2026;;S;;;937;15:37;19:16;1156;76;76;182;37;0;0;213;0;0;0;0;0;0;0;37;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Fr:1;W000001;12011;;
75;m____;1;P2;Waaslandia;1;School;2226;01/07/2025;05/01/2026;;S;;;384;06:24;08:18;498;52;52;110;4;0;0;114;0;0;0;0;0;0;0;4;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Mo:1;W000001;12011;;
75;m____;2;P2;Waaslandia;1;School;2226;01/07/2025;05/01/2026;;S;;;933;15:33;19:47;1187;89;89;202;45;7;0;217;0;0;0;0;0;0;0;52;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Mo:1;W000001;12011;;
75;_d___;1;P2;Waaslandia;2;School;2226;01/07/2025;05/01/2026;;S;;;384;06:24;08:18;498;52;52;110;4;0;0;114;0;0;0;0;0;0;0;4;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Tu:1;W000001;12011;;
75;_d___;2;P2;Waaslandia;2;School;2226;01/07/2025;05/01/2026;;S;;;933;15:33;19:47;1187;89;89;202;45;7;0;217;0;0;0;0;0;0;0;52;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Tu:1;W000001;12011;;
75;__w__;1;P2;Waaslandia;3;School;7421;01/07/2025;05/01/2026;;S;;;389;06:29;08:31;511;64;64;122;0;0;0;122;0;0;0;0;0;0;0;0;0;-1;Bus;Vrasene;Def:0,Wkhd:0,We:1;W000001;12011;;
75;__w__;2;P2;Waaslandia;3;School;2225;01/07/2025;05/01/2026;;G;;;708;11:48;19:04;1144;152;152;333;82;21;0;378;0;0;0;0;0;0;0;103;0;-1;Bus;Vrasene;Def:0,Wkhd:0,We:1;W000001;12011;;
75;___d_;1;P2;Waaslandia;4;School;2226;01/07/2025;05/01/2026;;S;;;384;06:24;08:18;498;52;52;110;4;0;0;114;0;0;0;0;0;0;0;4;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Th:1;W000001;12011;;
75;___d_;2;P2;Waaslandia;4;School;2226;01/07/2025;05/01/2026;;S;;;933;15:33;19:47;1187;89;89;202;45;7;0;217;0;0;0;0;0;0;0;52;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Th:1;W000001;12011;;
75;____v;1;P2;Waaslandia;5;School;2226;01/07/2025;05/01/2026;;S;;;384;06:24;08:18;498;52;52;110;4;0;0;114;0;0;0;0;0;0;0;4;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Fr:1;W000001;12011;;
75;____v;2;P2;Waaslandia;5;School;2226;01/07/2025;05/01/2026;;S;;;933;15:33;19:47;1187;89;89;202;45;7;0;217;0;0;0;0;0;0;0;52;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Fr:1;W000001;12011;;
76;m____;1;P2;Waaslandia;1;School;7421;01/07/2025;05/01/2026;;S;;;389;06:29;11:53;713;156;156;266;58;0;0;298;0;0;0;0;0;0;0;58;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Mo:1;W000001;12011;;
76;m____;2;P2;Waaslandia;1;School;7421;01/07/2025;05/01/2026;;G;;;925;15:25;18:54;1134;81;81;186;23;0;0;209;0;0;0;0;0;0;0;23;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Mo:1;W000001;12011;;
76;_d___;1;P2;Waaslandia;2;School;7421;01/07/2025;05/01/2026;;S;;;389;06:29;11:53;713;156;156;266;58;0;0;298;0;0;0;0;0;0;0;58;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Tu:1;W000001;12011;;
76;_d___;2;P2;Waaslandia;2;School;7421;01/07/2025;05/01/2026;;G;;;925;15:25;18:54;1134;81;81;186;23;0;0;209;0;0;0;0;0;0;0;23;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Tu:1;W000001;12011;;
76;__w__;1;P2;Waaslandia;3;School;7421;01/07/2025;05/01/2026;;S;;;390;06:30;12:50;770;138;138;297;83;0;0;334;0;0;0;0;0;0;0;83;0;-1;Bus;Vrasene;Def:0,Wkhd:0,We:1;W000001;12011;;
76;__w__;2;P2;Waaslandia;3;School;2226;01/07/2025;05/01/2026;;S;;;985;16:25;20:28;1228;98;98;207;36;0;0;222;28;0;0;0;0;0;0;36;0;-1;Bus;Vrasene;Def:0,Wkhd:0,We:1;W000001;12011;;
76;___d_;1;P2;Waaslandia;4;School;7421;01/07/2025;05/01/2026;;S;;;389;06:29;11:53;713;156;156;266;58;0;0;298;0;0;0;0;0;0;0;58;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Th:1;W000001;12011;;
76;___d_;2;P2;Waaslandia;4;School;7421;01/07/2025;05/01/2026;;G;;;925;15:25;18:54;1134;81;81;186;23;0;0;209;0;0;0;0;0;0;0;23;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Th:1;W000001;12011;;
76;____v;1;P2;Waaslandia;5;School;7421;01/07/2025;05/01/2026;;S;;;389;06:29;11:53;713;156;156;266;58;0;0;298;0;0;0;0;0;0;0;58;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Fr:1;W000001;12011;;
76;____v;2;P2;Waaslandia;5;School;7421;01/07/2025;05/01/2026;;G;;;925;15:25;18:54;1134;81;81;186;23;0;0;209;0;0;0;0;0;0;0;23;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Fr:1;W000001;12011;;
77;m____;1;P2;Waaslandia;1;School;7421;01/07/2025;05/01/2026;;S;;;389;06:29;08:31;511;64;64;122;0;0;0;122;0;0;0;0;0;0;0;0;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Mo:1;W000001;12011;;
77;m____;2;P2;Waaslandia;1;School;2226;01/07/2025;05/01/2026;;S;;;762;12:42;19:21;1161;173;173;346;53;0;0;386;0;0;0;0;0;0;0;53;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Mo:1;W000001;12011;;
77;_d___;1;P2;Waaslandia;2;School;7421;01/07/2025;05/01/2026;;S;;;389;06:29;08:31;511;64;64;122;0;0;0;122;0;0;0;0;0;0;0;0;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Tu:1;W000001;12011;;
77;_d___;2;P2;Waaslandia;2;School;2226;01/07/2025;05/01/2026;;S;;;762;12:42;19:21;1161;173;173;346;53;0;0;386;0;0;0;0;0;0;0;53;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Tu:1;W000001;12011;;
77;__w__;1;P2;Waaslandia;3;School;7421;01/07/2025;05/01/2026;;S;;;391;06:31;12:23;743;156;156;285;67;0;0;330;0;0;0;0;0;0;0;67;0;-1;Bus;Vrasene;Def:0,Wkhd:0,We:1;W000001;12011;;
77;__w__;2;P2;Waaslandia;3;School;2224;01/07/2025;05/01/2026;;S;;;946;15:46;19:58;1198;109;109;184;45;23;0;199;0;0;0;0;0;0;0;68;0;-1;Bus;Vrasene;Def:0,Wkhd:0,We:1;W000001;12011;;
77;___d_;1;P2;Waaslandia;4;School;7421;01/07/2025;05/01/2026;;S;;;389;06:29;08:31;511;64;64;122;0;0;0;122;0;0;0;0;0;0;0;0;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Th:1;W000001;12011;;
77;___d_;2;P2;Waaslandia;4;School;2226;01/07/2025;05/01/2026;;S;;;762;12:42;19:21;1161;173;173;346;53;0;0;386;0;0;0;0;0;0;0;53;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Th:1;W000001;12011;;
77;____v;1;P2;Waaslandia;5;School;7421;01/07/2025;05/01/2026;;S;;;389;06:29;08:31;511;64;64;122;0;0;0;122;0;0;0;0;0;0;0;0;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Fr:1;W000001;12011;;
